,ticketid,group_id,priority,requester_id,responder_id,source,status,subject,id,type,due_by,fr_due_by,created_at,updated_at,cf_licensing_authority_or_institution,cf_submitted_concern_category,cf_closure_problem_types,count,Remark,Reason_for_Abandoned,first_res_time_first_res_time_diff,incr_date,first_res_time,feedback_rating,rating_colss,waiting_time_duration,average_res_time_chat
0,357107,17000126268,1,17035632537,17015603966.0,7,5,Conversation with SARAH TAREQ YASEEN AL KUBAISI,357107,,2020-04-22 12:10:43+00:00,2020-04-19 11:30:00+00:00,2020-04-16 12:10:43+00:00,2020-04-22 03:51:15+00:00,Qatar Council for Health Practitioners (QCHP),I want to know the STATUS of my APPLICATION,Application Status,134.0,yes,We responded but applicant gone,"(Timestamp('2019-04-16 14:24:00'), 0.0)",2020-04-22 00:00:00,2019-04-16 14:24:00,nan,,42.0,56
1,358182,17000126268,1,17034054115,17015603966.0,7,4,Conversation with  SARAH TAREQ YASEEN AL KUBAISI,358182,,2020-04-26 09:15:22+00:00,2020-04-21 09:15:22+00:00,2020-04-20 09:15:21+00:00,2020-04-22 03:53:43+00:00,Qatar Council for Health Practitioners (QCHP),I want to know the STATUS of my APPLICATION,Application Status,6.0,yes,We responded but applicant gone,"(Timestamp('2019-04-16 16:10:00'), 334500.0)",2020-04-22 00:00:00,2019-04-16 16:10:00,nan,,5576.0,334500
2,355967,17000126268,1,17034252329,17033191965.0,7,5,Conversation with Karthika Joseph,355967,,2020-04-19 10:15:11+00:00,2020-04-14 10:15:11+00:00,2020-04-13 10:15:08+00:00,2020-04-22 04:43:31+00:00,Qatar Council for Health Practitioners (QCHP),I want to know the STATUS of my APPLICATION,Application Submission Query,65.0,No,  ,"(Timestamp('2019-04-13 12:37:00'), 720.0)",2020-04-22 00:00:00,2019-04-13 12:37:00,nan,,0.0,196
3,355856,17000126268,1,17035720613,17012211496.0,7,5,Conversation with Shemo♡,355856,,2020-04-19 06:36:52+00:00,2020-04-14 06:36:52+00:00,2020-04-13 06:36:50+00:00,2020-04-22 05:57:22+00:00,Saudi Commission for Health Specialities (SCHS),I have a QUESTION about CASE SUBMISSION or the PROCESS,Application Submission Query,5.0,yes,We responded but applicant gone,"(Timestamp('2019-04-13 07:26:00'), 10320.0)",2020-04-22 00:00:00,2019-04-13 07:26:00,nan,,190.0,10320
4,355974,17000126268,1,17035188071,17033191965.0,7,5,Conversation with rukuaju,355974,,2020-04-19 10:30:32+00:00,2020-04-14 10:30:32+00:00,2020-04-13 10:30:32+00:00,2020-04-22 05:58:06+00:00,Department of Health Abu Dhabi (DOHAD),I want to know the STATUS of my APPLICATION,Application Status,10.0,No,  ,"(Timestamp('2019-04-13 14:14:00'), 300.0)",2020-04-22 00:00:00,2019-04-13 14:14:00,nan,,3.0,150
5,356034,17000126268,1,17035723941,,7,5,Conversation with Om-Mahmoud,356034,,2020-04-19 11:30:00+00:00,2020-04-14 12:01:59+00:00,2020-04-13 12:01:59+00:00,2020-04-22 05:59:41+00:00,Saudi Commission for Health Specialities (SCHS),I have a QUESTION about CASE SUBMISSION or the PROCESS,Application Submission Query,22.0,No,  ,"(Timestamp('2019-04-13 15:48:00'), 360.0)",2020-04-22 00:00:00,2019-04-13 15:48:00,nan,,1.0,60
6,356087,17000126268,1,17035725578,,7,5,Conversation with judo.a1409,356087,,2020-04-19 11:30:00+00:00,2020-04-14 14:26:37+00:00,2020-04-13 14:26:34+00:00,2020-04-22 06:00:05+00:00,Saudi Commission for Health Specialities (SCHS),I have a GENERAL INQUIRY,General Inquiry,3.0,yes,We responded but applicant gone,"(Timestamp('2019-04-13 18:01:00'), 60.0)",2020-04-22 00:00:00,2019-04-13 18:01:00,nan,,25.0,60
7,356410,17000126268,1,17035738753,,7,5,Conversation with Rahman Ahmed,356410,,2020-04-20 10:49:00+00:00,2020-04-15 10:49:00+00:00,2020-04-14 10:49:00+00:00,2020-04-22 06:00:35+00:00,Saudi Commission for Health Specialities (SCHS),I have a QUESTION about CASE SUBMISSION or the PROCESS,Application Submission Query,37.0,No,  ,"(Timestamp('2019-04-14 13:46:00'), 720.0)",2020-04-22 00:00:00,2019-04-14 13:46:00,nan,,2.0,120
8,358222,17000126268,1,17035820634,,7,5,Conversation with MOHAMMED,358222,,2020-04-26 10:59:52+00:00,2020-04-21 10:59:52+00:00,2020-04-20 10:59:52+00:00,2020-04-22 06:03:01+00:00,Saudi Commission for Health Specialities (SCHS),I want to REQUEST a COPY of my REPORT,Report Copy Request,8.0,yes,We responded but applicant gone,"(Timestamp('2019-04-20 12:27:00'), 8160.0)",2020-04-22 00:00:00,2019-04-20 12:27:00,nan,,152.0,8160
9,358231,17000126268,1,17035648697,17024217288.0,7,5,Conversation with  SANGEETHA PADMA SINGH,358231,,2020-04-26 11:27:01+00:00,2020-04-21 11:27:01+00:00,2020-04-20 11:27:01+00:00,2020-04-22 06:21:22+00:00,Other,I want to know the STATUS of my APPLICATION,General Inquiry,3.0,yes,Standard Response,,2020-04-22 00:00:00,,nan,,,0
